Siglum	Source	RISM_abbrev
Lbl29987	"London, British Library, Additional 29987"	GB-Lbl 29987
LoC	"London, British Library, Additional 24198"	GB-Lbl 24198
LoD	"London, British Library, Additional 27630"	GB-Lbl 27630
LoE	"London, British Library, Additional 24199"	GB-Lbl 24199
LoF	"London, British Library, Additional 40011B (Fountains fragments)"	GB-Lbl 40011B
LoG	"London, British Library, Additional 41340"	GB-Lbl 41340
LoH	"London, British Library, Additional 36579"	GB-Lbl 36579
LoI	"London, British Library, Additional 38651"	GB-Lbl 38651
LoJ	"London, British Library, Additional 40725"	GB-Lbl 40725
LoLaudA	"London, British Library, Additional 18196"	GB-Lbl 18186
LoLaudB	"London, British Library, Additional 35,254B"	GB-Lbl 254B
LoR	"London, British Library, Additional 28550 (Robertsbridge Codex)"	GB-Lbl 28550
LoW	"London, British Library, Additional 49597"	GB-Lbl 49597
Lucca	"Lucca, Archivio di Stato 184 (Mancini Codex)"	I-Las 184;I-PEco3065
Luz	"Luzern, Kantonale Bibliothek 25 fol"	CH-Lk 25
MaA	"Paris, Bibliothèque Nationale, fonds français 1584 (MachA)"	F-Pn 1584
Mas A	"Paris, Bibliothèque Nationale, fonds français 1584 (MachA)"	F-Pn 1584
MaB	"Paris, Bibliothèque Nationale, fonds français 1585 (MachB)"	F-Pn 1585
MaC	"Paris, Bibliothèque Nationale, fonds français 1586 (MachC)"	F-Pn 1586
MadridA	"Madrid, Biblioteca Nacional, Va. 21-8"	E-Mn 8
MadridB	"Madrid, Biblioteca Nacional 1361"	E-Mn 1361
MadridC	"Madrid, Archivo Histórico Nacional, Carpeta 1474, frag. 17"	E-Mah 17
MaE	"Paris, Bibliothèque Nationale, fonds français 9221 (MachE)"	F-Pn 9221
Mach E	"Paris, Bibliothèque Nationale, fonds français 9221 (MachE)"	F-Pn 9221
MaF	"Paris, Bibliothèque Nationale, fonds français 22545 (MachF)"	F-Pn 22545
MaG	"Paris, Bibliothèque Nationale, fonds français 22546 (MachG)"	F-Pn 22546
Magdalen	"Oxford, Magdalen College Library 266-268"	GB-Omc 266-268
Maggs	"location unknown, Maggs Rotulus @(Photographic copy made for Maggs Bros. catalogue 476 in 1926)*."	
Maig	"Fribourg, Bibliothèque de la Maigrauge 4"	CH-Fm 4
MaK	"Bern, Bürgerbibliothek 218 (MachK)"	CH-Beb 218
MaW	"Aberystwyth, National Library of Wales, MS NLW 5010C (Bourdillon 10)"	GB-Anlw 5010
McV	"London, British Library, Additional 41667(I) (McVeigh fragment)"	GB-Lbl 41667
Melk	"Melk, Bibliothek des Benediktinerstifts 391 (olim J 1 and 486)"	A-M 391
MelkB	"Melk, Stiftsbibliothek 749 (@olim* 542)"	AU-Ms 749
Messina	"Messina, Biblioteca del Seminario Arcivescovile O. 4.16"	I-MEs 4.16
MFA	"Montefiore Dell'Aso, Biblioteca Prof. Francesco Egidi"	I-MFA
ModA	"Modena, Biblioteca Estense e Universitaria a.M.5.24 (Latino 568; @olim* IV.D.5)"	I-MOe 5.24
Montserrat	"Montserrat, Biblioteca del Monestir 823"	E-MO 823
Morg	"New York, Pierpont Morgan Library M. 396"	US-NYpm 396
MorgB	"New York, Pierpont Morgan Library M. 978"	US-NYpm 978
MorgC	"New York, Pierpont Morgan Library M. 742"	US-NYpm 742
ms_lost	Music manuscript lost. Known only from literary sources	
MuA	"Munich, Bayerische Staatsbibliothek, Handschriften-Inkunabelabteilung, Latinus monacensis 15611"	D-Mbs 15611
MuB	"Munich, Bayerische Staatsbibliothek, latinus 2699"	D-Mbs 2699
MuC	"Munich, Bayerische Staatsbibliothek, latinus 22305"	D-Mbs 22305
MuD	"Munich, Bayerische Staatsbibliothek, Handschriften-Inkunabelabteilung, Latinus monacensis 23286"	D-Mbs 23286
MuE	"Munich, Bayerische Staatsbibliothek, Handschriften-Inkunabelabteilung, Latinus monacensis 5362, Kasten D IV ad [31]"	D-Mbs 5362
MuF	"Munich, Bayerische Staatsbibliothek, latinus 7543 (@olim* Augustiner Chorherrenstift Indersdorf)"	D-Mbs 7543
MuG	"Munich, Bayerische Staatsbibliothek, Handschriften-Inkunabelabteilung, Latinus monacensis 5023"	D-Mbs 5023
MuK	"Munich, Bayerische Staatsbibliothek 3223"	D-Mbs 3223
MuP	"Munich, Bayerische Staatsbibliothek, latinus 6419"	D-Mbs 6419
MuR	"Munich, Bayerische Staatsbibliothek, latinus 11764"	D-Mbs 11764
MuS	"Munich, Bayerische Staatsbibliothek, Handschriften-Inkunabelabteilung, Latinus monacensis 5511"	D-Mbs 5511
MuUN	"Munich, Universitätsbibliothek der Ludwig-Maximilians-Universität, 2o 156"	D-Mu 156
Norwich	"Norwich, Norfolk and Norwich Record Office, Flitcham 299 (Box 23x4)"	GB-NWr 299
NYL	"Chicago, Private Library of Edward E. Lowinsky, Fragment"	US-Clw
O	"Oxford, Bodleian Library, MS Canonici Miscellaneous 213"	GB-Ob 213
OH	"London, British Library, Additional 57950 (olim Old Hall, Library of St. Edmund's College)"	GB-Lbl 57950
Ost	"Ostiglia, Opera Pia Greggiata, MS without shelfmark"	I-Ost
P-Pa 174a	"Poznan, Archdiocesan Archive, MS 174a"	P-Pa 174a
PadAi	"Oxford, Bodleian Library, MS Canonici Latin Patristic [Scriptores Ecclesiastici] 229"	GB-Ob 229
PadAii	"Padua, Biblioteca Universitaria 1475"	I-Pu 1475
PadAiii	"Padua, Biblioteca Universitaria 684"	I-Pu 684
PadB	"Padua, Biblioteca Universitaria 1115"	I-Pu 1115
